id,date,description,counterparty,account,debit,credit,category,source,created_at
20,2024-06-14,Paid online Transfer to Ehtasham MBL A/c,HTG Petro,Bank,0.0,89700.0,Accounts Payable Payment,htg_petro,2026-04-21 07:01:25
21,2024-06-15,Paid Cash to Ehtasham sb against plastic drums,HTG Petro,Bank,0.0,93000.0,Accounts Payable Payment,htg_petro,2026-04-21 07:01:25
22,2024-06-15,Purchase Steel Drums,HTG Petro,Bank,808589.0,0.0,Purchases - Steel Drums,htg_petro,2026-04-21 07:01:25
23,2024-06-20,Paid Chq # 32307037 bank al baraka,HTG Petro,Bank,0.0,259729.0,Accounts Payable Payment,htg_petro,2026-04-21 07:01:25
24,2024-06-23,Purchase Steel Drums,HTG Petro,Bank,808589.0,0.0,Purchases - Steel Drums,htg_petro,2026-04-21 07:01:25
25,2024-06-24,Purchase Steel Drums,HTG Petro,Bank,808589.0,0.0,Purchases - Steel Drums,htg_petro,2026-04-21 07:01:25
26,2024-06-24,Drums Convaynce (165 Drums @ 250/-),HTG Petro,Bank,41250.0,0.0,Freight & Conveyance,htg_petro,2026-04-21 07:01:25
27,2024-06-24,Drums Convaynce (165 Drums @ 250/-),HTG Petro,Bank,41250.0,0.0,Freight & Conveyance,htg_petro,2026-04-21 07:01:25
28,2024-06-27,Purchase Plastic Drums,HTG Petro,Bank,62400.0,0.0,Purchases - Plastic Drums,htg_petro,2026-04-21 07:01:25
29,2024-07-02,Purchase Plastic Drums,HTG Petro,Bank,117000.0,0.0,Purchases - Plastic Drums,htg_petro,2026-04-21 07:01:25
30,2024-07-09,Paid Chq # 32307072 bank al baraka,HTG Petro,Bank,0.0,808589.0,Accounts Payable Payment,htg_petro,2026-04-21 07:01:25
31,2024-07-09,Paid Chq # 32307073 bank al baraka,HTG Petro,Bank,0.0,735081.0,Accounts Payable Payment,htg_petro,2026-04-21 07:01:25
32,2024-07-09,Paid Chq # 32307074 bank al baraka,HTG Petro,Bank,0.0,808589.0,Accounts Payable Payment,htg_petro,2026-04-21 07:01:25
33,2024-07-11,Purchase IBC's Small Tanks,HTG Petro,Bank,685580.0,0.0,Purchases - IBC Tanks,htg_petro,2026-04-21 07:01:25
34,2024-07-13,Purchase IBC's Small Tanks,HTG Petro,Bank,685580.0,0.0,Purchases - IBC Tanks,htg_petro,2026-04-21 07:01:25
35,2024-07-18,Purchase IBC's Small Tanks,HTG Petro,Bank,685580.0,0.0,Purchases - IBC Tanks,htg_petro,2026-04-21 07:01:25
36,2024-07-24,Purchase IBC's Small Tanks,HTG Petro,Bank,685580.0,0.0,Purchases - IBC Tanks,htg_petro,2026-04-21 07:01:25
37,2024-07-29,Purchase IBC's Small Tanks,HTG Petro,Bank,685580.0,0.0,Purchases - IBC Tanks,htg_petro,2026-04-21 07:01:25
38,2024-07-31,Paid Chq # 32307076 bank al baraka,HTG Petro,Bank,0.0,735081.0,Accounts Payable Payment,htg_petro,2026-04-21 07:01:25
39,2024-08-01,Dep Cash MBL M Ehtisham A/c,HTG Petro,Bank,0.0,3000000.0,Accounts Payable Payment,htg_petro,2026-04-21 07:01:25
40,2024-08-08,Purchase IBC's Small Tanks,HTG Petro,Bank,685580.0,0.0,Purchases - IBC Tanks,htg_petro,2026-04-21 07:01:25
41,2024-08-20,Purchase Steel Drums,HTG Petro,Bank,9801.0,0.0,Purchases - Steel Drums,htg_petro,2026-04-21 07:01:25
